,Astro,Endo,ExcitatoryL2and3,ExcitatoryL4,ExcitatoryL5,ExcitatoryL6,HPC,Micro,Npy,Olig,Other,Pvalb,Smc,Sst,Vip
Astro,0.15178572,0.08214286,0.14107142,0.07589286,0.0625,0.13571429,0.008928572,0.019642858,0.010714286,0.19642857,0.035714287,0.016964287,0.021428572,0.033035714,0.008035715
Endo,0.078367345,0.1967347,0.21632653,0.16081633,0.060408164,0.09795918,0.004897959,0.008163265,0.008163265,0.053061225,0.04244898,0.03265306,0.007346939,0.022857143,0.009795918
ExcitatoryL2and3,0.0750969,0.12887597,0.55668604,0.051841084,0.009689922,0.031976745,0.0,0.00629845,0.010174419,0.017926356,0.033430234,0.03003876,0.0,0.02131783,0.026647286
ExcitatoryL4,0.052996844,0.12302839,0.06561514,0.5659306,0.043533124,0.03659306,0.0,0.005678233,0.003785489,0.027129337,0.019558359,0.029022083,0.0,0.027129337,0.0
ExcitatoryL5,0.0952381,0.0952381,0.028571429,0.082993194,0.21904762,0.24081632,0.00952381,0.028571429,0.0027210885,0.06530612,0.021768708,0.054421768,0.0,0.04761905,0.008163265
ExcitatoryL6,0.06750324,0.053223714,0.026828213,0.026828213,0.07702293,0.5659888,0.0021635655,0.01947209,0.0012981393,0.090004325,0.014279532,0.028126352,0.0,0.023799222,0.0034617048
HPC,0.0862069,0.06896552,0.0,0.0,0.06896552,0.0862069,0.3275862,0.05172414,0.0,0.0862069,0.13793103,0.01724138,0.0,0.03448276,0.03448276
Micro,0.13068181,0.056818184,0.08522727,0.045454547,0.11931818,0.23863636,0.028409092,0.028409092,0.0,0.17045455,0.0056818184,0.017045455,0.0,0.07386363,0.0
Npy,0.13580246,0.12345679,0.22222222,0.049382716,0.024691358,0.037037037,0.0,0.024691358,0.074074075,0.17283951,0.024691358,0.037037037,0.0,0.074074075,0.0
Olig,0.13391739,0.03629537,0.02252816,0.026908636,0.031914894,0.13141426,0.0037546933,0.021902379,0.008760951,0.543179,0.012515645,0.0075093866,0.0,0.018773466,0.00062578224
Other,0.13580246,0.14814815,0.18518518,0.10185185,0.055555556,0.09876543,0.027777778,0.0061728396,0.012345679,0.06481481,0.046296295,0.037037037,0.024691358,0.021604938,0.033950616
Pvalb,0.07836991,0.11598746,0.19749217,0.13793103,0.11598746,0.18181819,0.0,0.0062695923,0.0062695923,0.037617553,0.03448276,0.06583072,0.0,0.021943573,0.0
Smc,0.25925925,0.09259259,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259,0.0,0.055555556,0.0,0.5833333,0.0,0.0
Sst,0.10773481,0.063535914,0.1436464,0.11878453,0.113259666,0.16574585,0.008287293,0.041436464,0.019337017,0.07734807,0.022099448,0.03314917,0.0,0.063535914,0.022099448
Vip,0.06779661,0.11016949,0.5169492,0.0,0.050847456,0.042372882,0.016949153,0.0,0.0,0.008474576,0.06779661,0.0,0.0,0.050847456,0.06779661
